"id","Company_name","Company_ch_name","Company_ch_fullname","Company_en_fullname","Company_en_name","stock_number","tax_id_number","ch_address","en_address","established_date","listed_date","current_state","TEJ_sector","listed_sector","phone","website","ceo","top_manager","finance_manager","spokesman","staff_number","capital","TEJ_sector_name","new_TEJ_sector_name","TEJ_subsector_name","TEJ_new_sector_name","TEJ_sector_num","TEJ_industry_name","TEJ_subsecor_code","TEJ_subsector_fullname","main_bussiness1","main_bussiness2","main_bussiness3","main_product_dis","last_listed_date","last_IPO_date","first_OTC_date","unlisted_date","last_unIPO_date","update_time"
"1","2360 致茂","致茂","致茂電子","Chroma Ate Inc.","Chroma","2360","ID 09461025","桃園市龜山區文茂路88號","No. 88, Wenmao Rd., Guishan Dist., Taoyuan City","1984-11-08","1996-12-21","Current","31","TSE","03-3279999","http://www.chromaate.com","黃欽明","黃欽明","應正(副總)","應正(財務長)","2989","4214335370","M23H 電子設備","M2331 其他電子業","M23H2 電機設備","其他電子業","M23H","電子設備","M23H2","電機設備","精密電子量測儀器","自動化量測系統","0","2019/12:量測儀器(75.8%),特殊材料(15.1%),自動化運輸工程設備(7.3%)","1996-12-21","1994-06-28","0000-00-00","0000-00-00","0000-00-00",\N
"2","3055 蔚華科","蔚華科","蔚華科技","Spirox Corp.","Spirox","3055","ID 22729784","新竹市水源街95號","95, Shui Yuan St., HsinChu, Taiwan","1987-12-11","2002-08-27","Current","29","TSE","03-5738099","http://www.spirox.com.tw","陳有諒","高瀚宇","楊美津(協理)","倪嫈琪(特別助理)","379","1024419180","M23H 電子設備","M2329 電子通路業","M23H3 設備通路","電子通路業","M23H","電子設備","M23H3","設備通路","半導體設備代理、技術諮詢與維修服務應用軟體支援等","0","0","2019/12:半導體及積體電路測試, 製程設備及零組件(51.2%),快速消費品(36.6%),裝機維修及其他(12.3%)","2002-12-12","2000-06-16","0000-00-00","0000-00-00","0000-00-00",\N
"3","3535 晶彩科","晶彩科","晶彩科技","Favite, Inc.","Favite","3535","ID 70720798","新竹縣竹北市環北路二段197 號","No.197, Sec.2, Huanbei Rd., Zhubei City, Hsinchu, Taiwan","2000-03-10","2006-12-13","Current","26","TSE","03-5545988","http://www.favite.com","陳永華","陳永華","余淑薇(財會主管)","王子越(副總經理)","278","790523560","M23H 電子設備","M2326 光電業","M23H2 電機設備","光電業","M23H","電子設備","M23H2","電機設備","TFT-LCD檢測機台","設備零組件及電子配件","維修收入","2019/12:AOI 自動光學檢測設備(99.6%),其他(0.4%)","2008-01-31","2006-09-13","0000-00-00","0000-00-00","0000-00-00",\N
"4","3583 辛耘","辛耘","辛耘企業","Scientech Corporation","Scientech","3583","ID 30901647","台北市內湖區瑞光路208 號11樓","11/F, 208, Jui Kwang Rd., Taipei, Taiwan","1979-10-17","2012-04-23","Current","24","TSE","02-87512323","http://www.scientech.com.tw","謝宏亮","許明棋","莊紹哲(財會處資深經理)","許明棋(董事、執行長)","571","811390000","M23H 電子設備","M2324 半導體","M23H2 電機設備","半導體","M23H","電子設備","M23H2","電機設備","半導體/LED/Solar/LCD等製程機台設備代理、研發與製造","晶圓再生技術研發與服務","化學分析儀器代理技術、研發與製造","2019/12:半導體光電及材料製造(98.4%),其他(1.6%)","2013-03-12","2012-03-31","0000-00-00","0000-00-00","0000-00-00",\N
"5","8070 長華*","長華*","長華電材","Chang Wah Electromaterials Inc.","Chang Wah","8070","ID 23307811","高雄市楠梓加工出口區東七街16號 6樓","6/F, 16 E. 7th St., NanTze Export, Kaohsiung, Taiwan","1989-05-13","2003-02-20","Current","29","TSE","07-3622663","http://www.cwei.com.tw","黃嘉能","黃俊勳","陳美琴(財務部副理)","楊琇如(行政副總經理)","1995","638799370","M23T 資訊通路","M2329 電子通路業","M23T2 零組件代理","電子通路業","M23T","資訊通路","M23T2","零組件代理","半導體封裝材料之銷售","封裝機器設備之買賣與安裝","提供封裝技術服務","2019/12:導線架(48.8%),封膠樹脂(26.4%),其他(18.6%)","2007-12-31","2002-05-23","2003-10-30","0000-00-00","0000-00-00",\N
"6","3093 港建","港建","台灣港建","Taiwan Kong King Co., Ltd.","Taiwan Kong King","3093","ID 04655310","桃園縣蘆竹鄉南崁路二段66號5 樓之4","5/F-4, 66, Nankan Rd., Sec.2, Luchu, Taoyuan, Taiwan","1977-06-14","2002-07-02","Current","31","OTC","03-3529333","http://www.tkk.com.tw","何樹燦","廖豐瑩","陳梅芬(財務經理)","廖豐瑩(總經理u3000)","248","362888940","M23H 電子設備","M2331 其他電子業","M23H3 設備通路","其他電子業","M23H","電子設備","M23H3","設備通路","印刷電路板設備之銷售代理及售後服務。","半導體封裝及電子組裝設備之銷售代理及售後服務。","CD-R/DVD設備之銷售代理及售後服務。","2019/12:印刷電路板(PCB)(50.7%),電子(36.4%),客服處(11.3%)","2005-06-17","2000-12-07","2005-06-17","0000-00-00","0000-00-00",\N
"7","3131 弘塑","弘塑","弘塑科技","Grand Process Technology Corporation","GPTC","3131","ID 84355899","新竹市香山區中華路六段89號","No.89, Sec.6, Zhonghua Rd., Xiangshan Dist., Hsinchu City, Taiwan","1993-05-07","2009-05-08","Current","31","OTC","03-5183030","http://www.gptc.com.tw/","張鴻泰","石本立","曾繁斌(財務部經理)","黃富源(副總經理)","351","292160150","M23H 電子設備","M2331 其他電子業","M23H2 電機設備","其他電子業","M23H","電子設備","M23H2","電機設備","半導體及積體電路製造設備之工程承包、製造、買賣及維修工程。","化學品：工業級、試藥級、電子級混酸（蝕刻液）、電鑄藥液。","半導體相關之機械安裝、電子零組件製造。","2019/12:機械設備(48.8%),化學品(28.4%),其他( 維修 )(16.4%)","2011-01-17","2008-09-11","2011-01-17","0000-00-00","0000-00-00",\N
"8","3402 漢科","漢科","漢科系統科技","Wholetech System Hitech Ltd.","Wholetech","3402","ID 23830295","新竹市東華路14號8 樓之1","8-1/F, 14, Tong Hwa Rd., Hsinchu, Taiwan","1990-08-08","2004-12-09","Current","31","OTC","03-5228823","http://www.wholetech.com.tw","溫永宏","謝清泉","吳麗玉(總管理處財務協理)","吳麗玉(總管理處副總)","440","730476920","M23H 電子設備","M2331 其他電子業","M23H1 廠辦機電","其他電子業","M23H","電子設備","M23H1","廠辦機電","氣體/特殊管路工程、高真空系統","無塵室及機電統包","特氣供應及監控系統整合、先進產品、濕製程設備及化學系統","2019/12:製程管路工程設計施工(76.9%),無塵室及機電統包(10.4%),特殊氣體氣瓶櫃及廢氣處理機(9.7%)","2007-01-09","2004-05-26","2007-01-09","0000-00-00","0000-00-00",\N
"9","3581 博磊","博磊","博磊科技","Zen Voce Corp.","Zen Voce","3581","ID 16889100","新竹縣新豐鄉精工路53號","53, Ching Kwang Rd., Hsin Feng Hsiang, Hsinchu, Taiwan","1999-04-09","2007-10-02","Current","24","OTC","03-5599999","http://www.zenvoce.com","李篤誠","鄭文杰","林素真(財會部經理)","林素真(處長)","286","510060000","M23H 電子設備","M2324 半導體","M23H2 電機設備","半導體","M23H","電子設備","M23H2","電機設備","電子零組件製造","機械設備製造業務","電子零件材料批發及零售業務","2019/12:設備產品-切割機, 植球機, 清洗機, IC預燒測試設備(59.8%),測試產品(27.7%),維修(12%)","2015-01-20","2007-09-07","2015-01-20","0000-00-00","0000-00-00",\N
"10","5493 三聯","三聯","三聯科技","San Lien Technology Corp.","San Lien Technology","5493","ID 03051501","台北巿大安區復興南路一段 390號 5樓之3","5-3/F, 390, Fu Hsin S. Rd., Sec.1, Taipei, Taiwan","1967-02-20","2001-05-03","Current","31","OTC","02-27081730","http://www.sanlien.com","林大鈞","林廷芳","陳秀蕙(協理)","陳秀蕙(財務長)","286","416088150","M23H 電子設備","M2331 其他電子業","M23H2 電機設備","其他電子業","M23H","電子設備","M23H2","電機設備","工業自動化設備","感測及監測系統整合","0","2019/12:研磨液2(27.9%),顯影液(21.9%),其他(16.1%)","2001-05-03","1997-07-03","2001-05-03","0000-00-00","0000-00-00",\N
