"id","company_name","date","rd_budget","buget_use_rate","capital","turnover","net_income","income_capital_ratio","income_per_capital","all_capital","debt","SH_equity","cost","EPS","outside_income","season","month","update_time"
"126670","6426 統新","2020","77309","13.91","555729","144973","159790","41.49","39.52","1534137","166440","1367697","250966","3.27","1.37","3","9","2022-03-31 22:20:41"
"14315","2702 華園","2004","0","0","336692","288272","18528","2.93","0.65","1282725","594695","688030","29892","0.13","6.71","4","12","2022-03-31 21:21:48"
"72021","2496 卓越","2014","373","1.11","33572","10714","15091","3.86","3.21","218006","114068","103938","37949","0.32","7.56","1","3","2022-03-31 21:51:55"
"84807","TEJN20 傳產 觀光餐飲","2015","0","0","76298424","23817080","5436968","16.46","18.74","111154215","42226312","68927903","47046674","1.5","0.99","3","9","2022-03-31 21:58:39"
"13721","4711 永純","2003","8017","0.34","2331766","138993","68258","11.18","11.97","1570347","759155","811192","2124515","0.99","0.21","4","12","2022-03-31 21:21:30"
"34692","910579 歐聖","2009","0","0","871586","209257","600632","23.02","23.02","5378925","476051","4902874","61697","0.3","0.01","1","3","2022-03-31 21:32:20"
"19581","4942 嘉彰","2005","0","0","870991","112919","29986","12.56","15.04","844953","539366","305587","728086","0.13","0.68","4","12","2022-03-31 21:24:29"
"7073","1458 嘉畜","2000","2221","0.06","3531050","547069","448687","7.94","17.7","10896366","6500822","4395544","3432668","1.77","15.61","4","12","2022-03-31 21:18:03"
"79998","1777 生泰","2015","5832","3.48","167505","20352","46658","15.52","15.39","1131265","181032","950233","100495","1.29","0.23","1","3","2022-03-31 21:56:06"
"108384","5523 豐謙","2018","0","0","677256","59078","96002","6.19","5.56","3272797","1587539","1685258","522176","0.55","1.44","2","6","2022-03-31 22:11:04"
"18280","1727 中華化","2005","12424","1.13","1102696","117545","77913","12.57","11.14","1149354","360880","788474","907238","0.93","0.8","4","12","2022-03-31 21:23:49"
"51490","5253 維鈦光","2011","7898","2.74","287941","27717","1416","0.53","0.96","563072","276311","286761","261640","0.15","0.4","2","6","2022-03-31 21:41:10"
"97185","8040 九暘","2017","49490","26.37","187675","73633","15767","1.91","2.3","883173","211565","671608","129809","0.23","1.72","1","3","2022-03-31 22:05:11"
"118399","6464 台數科","2019","3301","0.15","2190328","403534","576733","46.95","50.56","8758171","2437697","6320474","1210061","3.97","2.02","3","9","2022-03-31 22:16:18"
"35447","3564 其陽","2009","18517","13.28","139444","46373","12013","6.96","4.04","253695","53273","200422","105084","0.38","3.61","2","6","2022-03-31 21:32:43"
"92254","3339 泰谷","2016","29339","4.06","722056","77747","232081","24.13","39.32","1812748","1165020","647728","876390","3.93","20.24","3","9","2022-03-31 22:02:36"
"96144","6291 沛亨","2016","40804","17.54","232609","100465","16064","4.87","5.66","193547","154230","39317","148208","0.63","1.13","4","12","2022-03-31 22:04:38"
"6030","5491 連展","1999","30455","3.23","943640","184764","86540","33","31.62","733910","375264","358646","671436","2.82","0.38","4","12","2022-03-31 21:17:31"
"120403","7523 亞科國際","2019","0","0","1258","9732","8794","46.99","42.97","3278","2218","1060","320","4.46","59.7","4","12","2022-03-31 22:17:21"
"95902","6491 晶碩","2016","224587","13.53","1659336","603304","236863","39.48","39.14","1927417","701966","1225451","819169","3.11","0.12","4","12","2022-03-31 22:04:31"
"101751","9919 康那香","2017","29753","1.04","2865976","400671","90889","4.61","6.28","5650580","3027510","2623070","2374416","0.57","1.15","3","9","2022-03-31 22:07:35"
"24144","6259 百徽","2007","0","0","241555","58982","26088","6.3","5.39","555355","327946","227409","208661","0.68","1.56","2","6","2022-03-31 21:26:50"
"111790","2349 錸德","2018","180177","1.93","9358661","1579361","1031759","8.03","8.2","23694775","10487311","13207464","8811059","1.01","0.23","4","12","2022-03-31 22:12:51"
"110766","3354 律勝","2018","61320","12.37","495577","128555","48484","6.92","13.81","1578579","385260","1193319","318538","1.09","9.76","4","12","2022-03-31 22:12:19"
"5692","8025 豐島","1999","0","0","488843","66096","78282","43.98","58.33","590903","257259","333644","344465","8.27","5.23","4","12","2022-03-31 21:17:20"
"8721","3167 大量","2001","9987","2.87","348434","83185","56652","33.32","30.38","403434","186537","216897","208597","2.32","1.44","4","12","2022-03-31 21:18:54"
"15081","6608 慶鴻","2004","22506","1.64","1372167","229891","320639","104.1","106.14","1380838","435304","945534","820862","6.89","0.46","4","12","2022-03-31 21:22:11"
"112724","5269 祥碩","2018","497548","13.37","3722351","655084","1100294","183.27","190.62","3218246","889928","2328318","1966973","15.93","1.19","4","12","2022-03-31 22:13:19"
"88934","6702 興航","2016","0","0","3199097","387251","769639","12.15","8.46","23981485","17505902","6475583","3581485","0.69","7.31","1","3","2022-03-31 22:00:51"
"100472","2732 六角","2017","10880","0.61","1794420","802679","174699","50.27","45.02","1815702","724511","1091191","812253","3.6","1.02","3","9","2022-03-31 22:06:54"
"32494","2012 春雨","2008","0","0","8620400","1054597","494924","17.2","14.4","9840795","5802846","4037949","7070879","0.81","0.94","4","12","2022-03-31 21:31:11"
"48146","3481 群創","2011","2761457","2.18","126421504","7294345","13326929","18.22","19.43","722865471","472152515","250712956","132454088","1.89","0.7","1","3","2022-03-31 21:39:24"
"116383","6762 達亞","2019","13282","7.5","177038","32760","47411","25.71","25.88","443224","152437","290787","96867","2.29","0.17","2","6","2022-03-31 22:15:14"
"81176","6180 橘子","2015","22905","0.93","2449942","380314","54625","3.47","22.66","7810985","4902848","2908137","2015003","2.05","12.35","1","3","2022-03-31 21:56:43"
"62938","5007 三星","2012","25408","0.49","5224284","339059","552625","25.12","27.72","5838639","2142502","3696137","4332600","2.44","1.09","4","12","2022-03-31 21:47:11"
